metric,file,name,value,line
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_composition",1,254
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_composition",2,259
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_composition",2,264
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_composition",4,276
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_stacked_bar_composition",2,294
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_stacked_bar_composition",2,304
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_stacked_area_composition",2,310
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_stacked_area_composition",2,319
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_risk_contribution",2,326
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_risk_contribution",1,341
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_risk_contribution",1,355
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_risk_contribution",1,371
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_risk_contribution",1,376
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_risk_contribution",1,389
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_network",2,394
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_network",3,409
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_network",4,417
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_dendrogram",4,431
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_dendrogram",1,464
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_dendrogram",3,470
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_clusters",6,483
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_clusters",1,548
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_clusters",3,554
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_drawdowns",2,563
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_drawdowns",1,573
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_drawdowns",3,582
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_measures",5,594
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_measures",5,624
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_measures",7,668
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_histogram",1,712
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_histogram",1,722
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_histogram",2,732
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_centrality",2,744
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_centrality",1,761
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_centrality",2,769
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_centrality",2,777
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_correlation",1,786
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_correlation",2,791
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_correlation",1,796
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_correlation",1,800
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_correlation",1,803
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_correlation",1,807
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_mu",1,811
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_mu",2,816
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_mu",1,822
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_mu",1,826
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_mu",1,830
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_mu",1,834
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_sigma",1,839
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_sigma",2,844
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_sigma",1,850
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_sigma",1,854
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_sigma",1,858
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_sigma",1,862
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_loadings",3,879
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_loadings",3,888
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_loadings",1,895
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_loadings",1,899
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_loadings",1,902
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_loadings",1,906
cyclomatic,ext/PortfolioOptimisersPlotsExt.jl,"PortfolioOptimisers.plot_factor_sigma",2,911
